Company name,ASX code,GICS industry group
1300 SMILES LIMITED,ONT,Health Care Equipment & Services
1414 DEGREES LIMITED,14D,Capital Goods
1ST GROUP LIMITED,1ST,Health Care Equipment & Services
360 CAPITAL GROUP,TGP,Real Estate
360 CAPITAL TOTAL RETURN FUND,TOT,Not Applic
3D OIL LIMITED,TDO,Energy
3P LEARNING LIMITED..,3PL,Consumer Services
4DS MEMORY LIMITED,4DS,Semiconductors & Semiconductor Equipment
5G NETWORKS LIMITED,5GN,Telecommunication Services
88 ENERGY LIMITED,88E,Energy
8COMMON LIMITED,8CO,Software & Services
8I HOLDINGS LTD,8IH,Diversified Financials
8IP EMERGING COMPANIES LIMITED,8EC,Not Applic
9 SPOKES INTERNATIONAL LIMITED,9SP,Software & Services
99 WUXIAN LIMITED,NNW,Retailing
A-CAP ENERGY LIMITED,ACB,Energy
A2B AUSTRALIA LIMITED,A2B,Transportation
ABACUS PROPERTY GROUP,ABP,Real Estate
ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,AEG,Not Applic
ABUNDANT PRODUCE LIMITED,ABT,"Food, Beverage & Tobacco"
ACCENT GROUP LIMITED,AX1,Retailing
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ,Not Applic
ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,ACF,Capital Goods
ACRUX LIMITED,ACR,"Pharmaceuticals, Biotechnology & Life Sciences"
ACTINOGEN MEDICAL LIMITED,ACW,"Pharmaceuticals, Biotechnology & Life Sciences"
ADACEL TECHNOLOGIES LIMITED,ADA,Software & Services
ADAIRS LIMITED,ADH,Retailing
ADALTA LIMITED,1AD,"Pharmaceuticals, Biotechnology & Life Sciences"
ADAVALE RESOURCES LIMITED,ADD,Energy
ADELAIDE BRIGHTON LIMITED,ABC,Materials
ADHERIUM LIMITED,ADR,Health Care Equipment & Services
ADMIRALTY RESOURCES NL.,ADY,Materials
ADRIATIC METALS PLC,ADT,Materials
ADSLOT LTD,ADJ,Software & Services
ADVANCE NANOTEK LIMITED,ANO,Materials
ADVANCED BRAKING TECHNOLOGY LTD,ABV,Automobiles & Components
ADVERITAS LIMITED,AV1,Media & Entertainment
ADX ENERGY LTD,ADX,Energy
AEON METALS LIMITED.,AML,Materials
AERIS RESOURCES LIMITED,AIS,Materials
AFRICAN GOLD LTD.,A1G,Materials
AFTERPAY TOUCH GROUP LIMITED,APT,Software & Services
AGL ENERGY LIMITED.,AGL,Utilities
AGUIA RESOURCES LIMITED,AGR,Materials
AINSWORTH GAME TECHNOLOGY LIMITED,AGI,Consumer Services
AIR NEW ZEALAND LIMITED,AIZ,Transportation
AJ LUCAS GROUP LIMITED,AJL,Capital Goods
ALACER GOLD CORP.,AQG,Materials
ALARA RESOURCES LIMITED,AUQ,Materials
ALCHEMY RESOURCES LIMITED,ALY,Materials
ALCIDION GROUP LIMITED,ALC,Health Care Equipment & Services
ALDERAN RESOURCES LIMITED,AL8,Materials
ALDORO RESOURCES LIMITED,ARN,Materials
ALE PROPERTY GROUP,LEP,Real Estate
ALEXIUM INTERNATIONAL GROUP LIMITED,AJX,Materials
ALICANTO MINERALS LIMITED,AQI,Materials
ALKANE RESOURCES LIMITED,ALK,Materials
ALLEGIANCE COAL LIMITED,AHQ,Materials
ALLIANCE AVIATION SERVICES LIMITED,AQZ,Transportation
ALLIANCE MINERAL ASSETS LIMITED,A40,Materials
ALLIANCE RESOURCES LIMITED,AGS,Materials
ALLIGATOR ENERGY LIMITED,AGE,Energy
ALPHA HPA LIMITED,A4N,Materials
ALS LIMITED,ALQ,Commercial & Professional Services
ALTA ZINC LIMITED,AZI,Materials
ALTECH CHEMICALS LTD,ATC,Materials
ALTHEA GROUP HOLDINGS LIMITED,AGH,"Pharmaceuticals, Biotechnology & Life Sciences"
ALTIUM LIMITED,ALU,Software & Services
ALTURA MINING LIMITED,AJM,Materials
ALUMINA LIMITED,AWC,Materials
AMA GROUP LIMITED,AMA,Commercial & Professional Services
AMAYSIM AUSTRALIA LIMITED,AYS,Telecommunication Services
AMCIL LIMITED,AMH,Not Applic
AMCOR PLC,AMC,Materials
AMERICAN PACIFIC BORATE & LITHIUM LIMITED,ABR,Materials
AMP LIMITED,AMP,Diversified Financials
AMPLIA THERAPEUTICS LIMITED,ATX,"Pharmaceuticals, Biotechnology & Life Sciences"
ANATARA LIFESCIENCES LTD,ANR,"Pharmaceuticals, Biotechnology & Life Sciences"
ANDROMEDA METALS LIMITED,ADN,Materials
ANGEL SEAFOOD HOLDINGS LTD,AS1,"Food, Beverage & Tobacco"
ANGLO AUSTRALIAN RESOURCES NL,AAR,Materials
ANGLOGOLD ASHANTI LIMITED,AGG,Materials
ANOVA METALS LIMITED,AWV,Materials
ANSELL LIMITED,ANN,Health Care Equipment & Services
ANSON RESOURCES LIMITED,ASN,Materials
ANTEO DIAGNOSTICS LIMITED,ADO,"Pharmaceuticals, Biotechnology & Life Sciences"
ANTIPA MINERALS LIMITED,AZY,Materials
ANTIPODES GLOBAL INVESTMENT COMPANY LTD,APL,Not Applic
ANTISENSE THERAPEUTICS LIMITED,ANP,"Pharmaceuticals, Biotechnology & Life Sciences"
AP EAGERS LIMITED,APE,Retailing
APA GROUP,APA,Utilities
APIAM ANIMAL HEALTH LIMITED,AHX,Health Care Equipment & Services
APN CONVENIENCE RETAIL REIT,AQR,Real Estate
APN INDUSTRIA REIT,ADI,Real Estate
APN PROPERTY GROUP LIMITED,APD,Diversified Financials
APOLLO CONSOLIDATED LIMITED,AOP,Materials
APOLLO MINERALS LIMITED,AON,Materials
APOLLO TOURISM & LEISURE LTD,ATL,Automobiles & Components
APPEN LIMITED,APX,Software & Services
APPLYDIRECT LIMITED,AD1,Media & Entertainment
ARAFURA RESOURCES LIMITED,ARU,Materials
ARB CORPORATION LIMITED.,ARB,Automobiles & Components
ARC EXPLORATION LIMITED,ARX,Materials
ARCHER EXPLORATION LIMITED,AXE,Materials
ARDEA RESOURCES LIMITED,ARL,Materials
ARDENT LEISURE GROUP LIMITED,ALG,Consumer Services
ARDIDEN LTD,ADV,Materials
ARENA REIT.,ARF,Real Estate
ARGENT MINERALS LIMITED,ARD,Materials
ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,ALI,Not Applic
ARGO INVESTMENTS LIMITED,ARG,Not Applic
ARGONAUT RESOURCES NL,ARE,Materials
ARGOSY MINERALS LIMITED,AGY,Materials
ARIADNE AUSTRALIA LIMITED,ARA,Commercial & Professional Services
ARISTOCRAT LEISURE LIMITED,ALL,Consumer Services
ARMOUR ENERGY LIMITED,AJQ,Energy
AROWANA INTERNATIONAL LIMITED,AWN,Capital Goods
ARQ GROUP LIMITED,ARQ,Software & Services
ARTEMIS RESOURCES LIMITED,ARV,Materials
ARUMA RESOURCES LIMITED,AAJ,Materials
ASALEO CARE LIMITED,AHY,Household & Personal Products
ASF GROUP LIMITED,AFA,Diversified Financials
ASHLEY SERVICES GROUP LIMITED,ASH,Commercial & Professional Services
ASPEN GROUP,APZ,Real Estate
ASPERMONT LIMITED.,ASP,Media & Entertainment
ASPIRE MINING LIMITED,AKM,Materials
ASSETOWL LIMITED,AO1,Software & Services
ASTIVITA LIMITED,AIR,Capital Goods
ASTRON CORPORATION LIMITED,ATR,Materials
ASX LIMITED,ASX,Diversified Financials
ATHENA RESOURCES LIMITED,AHN,Materials
ATLAS ARTERIA,ALX,Transportation
ATLAS PEARLS LTD,ATP,Consumer Durables & Apparel
ATOMOS LIMITED,AMS,Consumer Durables & Apparel
ATRUM COAL LIMITED,ATU,Materials
AUB GROUP LIMITED,AUB,Insurance
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA,Transportation
AUCTUS ALTERNATIVE INVESTMENTS LIMITED,AVC,Diversified Financials
AUDINATE GROUP LIMITED,AD8,Technology Hardware & Equipment
AUDIO PIXELS HOLDINGS LIMITED,AKP,Consumer Durables & Apparel
AUKING MINING LIMITED,AKN,Materials
AUMAKE INTERNATIONAL LIMITED,AU8,Retailing
AURA ENERGY LIMITED,AEE,Energy
AURELIA METALS LIMITED,AMI,Materials
AURIS MINERALS LIMITED,AUR,Materials
AURIZON HOLDINGS LIMITED,AZJ,Transportation
AURORA GLOBAL INCOME TRUST,AIB,Not Applic
AURORA LABS LIMITED,A3D,Capital Goods
AURORA MINERALS LIMITED,ARM,Materials
AUS TIN MINING LTD,ANW,Materials
AUSCANN GROUP HOLDINGS LTD,AC8,"Pharmaceuticals, Biotechnology & Life Sciences"
AUSDRILL LIMITED,ASL,Materials
AUSGOLD LIMITED,AUC,Materials
AUSMEX MINING GROUP LIMITED,AMG,Materials
AUSMON RESOURCES LIMITED,AOA,Materials
AUSNET SERVICES LIMITED,AST,Utilities
AUSQUEST LIMITED,AQD,Materials
AUSTAL LIMITED,ASB,Capital Goods
AUSTAR GOLD LIMITED,AUL,Materials
AUSTCHINA HOLDINGS LIMITED,AUH,Energy
AUSTIN ENGINEERING LIMITED,ANG,Capital Goods
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZ,Banks
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC,"Food, Beverage & Tobacco"
AUSTRALIAN BAUXITE LIMITED.,ABX,Materials
AUSTRALIAN DAIRY NUTRITIONALS GROUP,AHF,"Food, Beverage & Tobacco"
AUSTRALIAN ETHICAL INVESTMENT LIMITED,AEF,Diversified Financials
AUSTRALIAN FINANCE GROUP LTD,AFG,Banks
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI,Not Applic
AUSTRALIAN GOVERNANCE & ETHICAL INDEX FUND,AGM,Not Applic
AUSTRALIAN LEADERS FUND LIMITED,ALF,Not Applic
AUSTRALIAN MINES LIMITED,AUZ,Materials
AUSTRALIAN PACIFIC COAL LIMITED,AQC,Materials
AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,API,Health Care Equipment & Services
AUSTRALIAN POTASH LIMITED,APC,Materials
AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,AUI,Not Applic
AUSTRALIAN UNITY OFFICE FUND,AOF,Real Estate
AUSTRALIAN VANADIUM LIMITED,AVL,Materials
AUSTRALIAN VINTAGE LTD,AVG,"Food, Beverage & Tobacco"
AUSTRALIS OIL & GAS LIMITED,ATS,Energy
AUSWIDE BANK LTD,ABA,Banks
AUTECO MINERALS LTD,AUT,Materials
AUTOMOTIVE HOLDINGS GROUP LIMITED.,AHG,Retailing
AUTOSPORTS GROUP LIMITED.,ASG,Retailing
AVA RISK GROUP LIMITED,AVA,Technology Hardware & Equipment
AVECHO BIOTECHNOLOGY LIMITED,AVE,"Pharmaceuticals, Biotechnology & Life Sciences"
AVENIRA LIMITED,AEV,Materials
AVENTUS GROUP,AVN,Real Estate
AVEO GROUP,AOG,Real Estate
AVITA MEDICAL LTD,AVH,"Pharmaceuticals, Biotechnology & Life Sciences"
AVJENNINGS LIMITED,AVJ,Real Estate
AVZ MINERALS LIMITED,AVZ,Materials
AXIOM PROPERTIES LIMITED,AXI,Real Estate
AZUMAH RESOURCES LIMITED,AZM,Materials
AZURE HEALTHCARE LIMITED,AZV,Health Care Equipment & Services
AZURE MINERALS LIMITED,AZS,Materials
BABY BUNTING GROUP LIMITED,BBN,Retailing
BABYLON PUMP & POWER LIMITED,BPP,Capital Goods
BAILADOR TECHNOLOGY INVESTMENTS LIMITED,BTI,Diversified Financials
BANK OF QUEENSLAND LIMITED.,BOQ,Banks
BANNERMAN RESOURCES LIMITED,BMN,Energy
BAPCOR LIMITED,BAP,Retailing
BARD1 LIFE SCIENCES LIMITED,BD1,Health Care Equipment & Services
BARDOC GOLD LIMITED,BDC,Materials
BARRA RESOURCES LIMITED,BAR,Materials
BARRACK ST INVESTMENTS LIMITED,BST,Not Applic
BASE RESOURCES LIMITED,BSE,Materials
BASS METALS LTD,BSM,Materials
BASSARI RESOURCES LIMITED,BSR,Materials
BATHURST RESOURCES LIMITED.,BRL,Materials
BATTERY MINERALS LIMITED,BAT,Materials
BBX MINERALS LIMITED,BBX,Materials
BCI MINERALS LIMITED,BCI,Materials
BEACH ENERGY LIMITED,BPT,Energy
BEACON LIGHTING GROUP LIMITED,BLX,Retailing
BEACON MINERALS LIMITED,BCN,Materials
BEAM COMMUNICATIONS HOLDINGS LIMITED,BCC,Technology Hardware & Equipment
BEGA CHEESE LIMITED,BGA,"Food, Beverage & Tobacco"
BELL FINANCIAL GROUP LIMITED,BFG,Diversified Financials
BELLAMY'S AUSTRALIA LIMITED,BAL,"Food, Beverage & Tobacco"
BELLEVUE GOLD LIMITED,BGL,Materials
BENDIGO AND ADELAIDE BANK LIMITED,BEN,Banks
BENITEC BIOPHARMA LIMITED,BLT,"Pharmaceuticals, Biotechnology & Life Sciences"
BENTLEY CAPITAL LIMITED,BEL,Not Applic
BESTON GLOBAL FOOD COMPANY LIMITED,BFC,"Food, Beverage & Tobacco"
BEYOND INTERNATIONAL LIMITED,BYI,Media & Entertainment
BHP GROUP LIMITED,BHP,Materials
BIDENERGY LIMITED,BID,Software & Services
BIG RIVER INDUSTRIES LIMITED,BRI,Materials
BIGTINCAN HOLDINGS LIMITED,BTH,Software & Services
BINGO INDUSTRIES LIMITED,BIN,Commercial & Professional Services
BIO-GENE TECHNOLOGY LTD,BGT,Materials
BIONOMICS LIMITED,BNO,"Pharmaceuticals, Biotechnology & Life Sciences"
BIOTRON LIMITED,BIT,"Pharmaceuticals, Biotechnology & Life Sciences"
BIOXYNE LIMITED,BXN,Household & Personal Products
BIRIMIAN LIMITED,BGS,Materials
BKI INVESTMENT COMPANY LIMITED,BKI,Not Applic
BLACK CAT SYNDICATE LIMITED,BC8,Materials
BLACK DRAGON GOLD CORP.,BDG,Materials
BLACK ROCK MINING LIMITED,BKT,Materials
BLACKEARTH MINERALS NL,BEM,Materials
BLACKHAM RESOURCES LIMITED,BLK,Materials
BLACKMORES LIMITED,BKL,Household & Personal Products
BLACKSTONE MINERALS LIMITED,BSX,Materials
BLACKWALL LIMITED,BWF,Diversified Financials
BLACKWALL PROPERTY TRUST,BWR,Real Estate
BLAZE INTERNATIONAL LIMITED,BLZ,Energy
BLUE ENERGY LIMITED.,BLU,Energy
BLUE SKY ALTERNATIVES ACCESS FUND LIMITED,BAF,Not Applic
BLUECHIIP LIMITED,BCT,Technology Hardware & Equipment
BLUESCOPE STEEL LIMITED,BSL,Materials
BLUGLASS LIMITED,BLG,Semiconductors & Semiconductor Equipment
BMG RESOURCES LIMITED,BMG,Materials
BOART LONGYEAR LIMITED,BLY,Materials
BOD AUSTRALIA LIMITED,BDA,Retailing
BOOM LOGISTICS LIMITED,BOL,Capital Goods
BORAL LIMITED.,BLD,Materials
BOSS RESOURCES LIMITED,BOE,Materials
BOTANIX PHARMACEUTICALS LTD,BOT,"Pharmaceuticals, Biotechnology & Life Sciences"
BOUGAINVILLE COPPER LIMITED,BOC,Materials
BOUNTY MINING LIMITED,B2Y,Materials
BOWEN COKING COAL LIMITED,BCB,Materials
BRAINCHIP HOLDINGS LTD,BRN,Software & Services
BRAMBLES LIMITED,BXB,Commercial & Professional Services
BRAVURA SOLUTIONS LIMITED.,BVS,Software & Services
BREAKER RESOURCES NL,BRB,Materials
BREVILLE GROUP LIMITED,BRG,Consumer Durables & Apparel
BRICKWORKS LIMITED,BKW,Materials
BROKEN HILL PROSPECTING LIMITED,BPL,Materials
BROO LTD,BEE,"Food, Beverage & Tobacco"
BROOKSIDE ENERGY LIMITED,BRK,Energy
BRYAH RESOURCES LIMITED,BYH,Materials
BSA LIMITED,BSA,Commercial & Professional Services
BTC HEALTH LTD,BTC,Not Applic
BUBS AUSTRALIA LIMITED,BUB,"Food, Beverage & Tobacco"
BUDDY TECHNOLOGIES LTD,BUD,Software & Services
BUDERIM GROUP LIMITED,BUG,"Food, Beverage & Tobacco"
"BUILDINGIQ, INC",BIQ,Software & Services
BURU ENERGY LIMITED,BRU,Energy
BUXTON RESOURCES LIMITED,BUX,Materials
BWP TRUST,BWP,Real Estate
BWX LIMITED,BWX,Household & Personal Products
BYRON ENERGY LIMITED,BYE,Energy
CADENCE CAPITAL LIMITED,CDM,Not Applic
CAENEUS MINERALS LTD,CAD,Materials
CALIDUS RESOURCES LIMITED,CAI,Materials
CALIMA ENERGY LIMITED,CE1,Energy
CALTEX AUSTRALIA LIMITED,CTX,Energy
CANN GROUP LIMITED,CAN,"Pharmaceuticals, Biotechnology & Life Sciences"
CANNINDAH RESOURCES LIMITED,CAE,Materials
CANYON RESOURCES LIMITED,CAY,Materials
CAPE LAMBERT RESOURCES LIMITED,CFE,Materials
CAPE RANGE LTD,CAG,Software & Services
CAPITOL HEALTH LIMITED,CAJ,Health Care Equipment & Services
CAPRAL LIMITED,CAA,Materials
CAPRICORN METALS LTD,CMM,Materials
CARAWINE RESOURCES LIMITED,CWX,Materials
CARBONXT GROUP LIMITED,CG1,Materials
CARDIEX LIMITED,CDX,Health Care Equipment & Services
CARDINAL RESOURCES LIMITED,CDV,Materials
CARDNO LIMITED,CDD,Capital Goods
CARINDALE PROPERTY TRUST,CDP,Real Estate
CARLTON INVESTMENTS LIMITED,CIN,Not Applic
CARNARVON PETROLEUM LIMITED,CVN,Energy
CARPENTARIA RESOURCES LTD,CAP,Materials
CARSALES.COM LIMITED.,CAR,Media & Entertainment
CASH CONVERTERS INTERNATIONAL,CCV,Retailing
CASSINI RESOURCES LIMITED,CZI,Materials
CATALYST METALS LIMITED,CYL,Materials
CATAPULT GROUP INTERNATIONAL LTD,CAT,Technology Hardware & Equipment
CAZALY RESOURCES LIMITED,CAZ,Materials
CBG CAPITAL LIMITED,CBC,Not Applic
CCP TECHNOLOGIES LIMITED,CT1,Technology Hardware & Equipment
CEDAR WOODS PROPERTIES LIMITED,CWP,Real Estate
CELAMIN HOLDINGS LIMITED,CNL,Materials
CELLMID LIMITED,CDY,"Pharmaceuticals, Biotechnology & Life Sciences"
CELLNET GROUP LIMITED,CLT,Technology Hardware & Equipment
CELSIUS RESOURCES LIMITED.,CLA,Materials
CENTAURUS METALS LIMITED,CTM,Materials
CENTRAL PETROLEUM LIMITED,CTP,Energy
CENTREPOINT ALLIANCE LIMITED,CAF,Diversified Financials
CENTREX METALS LIMITED,CXM,Materials
CENTURIA CAPITAL GROUP,CNI,Diversified Financials
CENTURIA INDUSTRIAL REIT,CIP,Real Estate
CENTURIA METROPOLITAN REIT,CMA,Real Estate
CFOAM LIMITED,CFO,Capital Goods
CHALICE GOLD MINES LIMITED,CHN,Materials
CHALLENGER LIMITED,CGF,Diversified Financials
CHAMPION IRON LIMITED,CIA,Materials
CHANGE FINANCIAL LIMITED,CCA,Software & Services
CHANT WEST HOLDINGS LIMITED,CWL,Software & Services
CHARTER HALL EDUCATION TRUST,CQE,Real Estate
CHARTER HALL GROUP,CHC,Real Estate
CHARTER HALL LONG WALE REIT,CLW,Real Estate
CHARTER HALL RETAIL REIT,CQR,Real Estate
CHASE MINING CORPORATION LIMITED,CML,Materials
CHORUS LIMITED,CNU,Telecommunication Services
CI RESOURCES LIMITED,CII,Materials
CIMIC GROUP LIMITED,CIM,Capital Goods
CIRRALTO LIMITED,CRO,Software & Services
CIRRUS NETWORKS HOLDINGS LIMITED,CNW,Software & Services
CITIGOLD CORPORATION LIMITED,CTO,Materials
CITY CHIC COLLECTIVE LIMITED,CCX,Retailing
CIVMEC LIMITED,CVL,Capital Goods
CLASS LIMITED,CL1,Software & Services
CLEAN SEAS SEAFOOD LIMITED,CSS,"Food, Beverage & Tobacco"
CLEAN TEQ HOLDINGS LIMITED,CLQ,Commercial & Professional Services
CLEANAWAY WASTE MANAGEMENT LIMITED,CWY,Commercial & Professional Services
CLEARVUE TECHNOLOGIES LIMITED,CPV,Capital Goods
CLIME CAPITAL LIMITED,CAM,Not Applic
CLINUVEL PHARMACEUTICALS LIMITED,CUV,"Pharmaceuticals, Biotechnology & Life Sciences"
CLOVER CORPORATION LIMITED,CLV,Materials
COBALT BLUE HOLDINGS LIMITED,COB,Materials
COCA-COLA AMATIL LIMITED,CCL,"Food, Beverage & Tobacco"
COCHLEAR LIMITED,COH,Health Care Equipment & Services
CODAN LIMITED,CDA,Technology Hardware & Equipment
COGSTATE LTD,CGS,Health Care Equipment & Services
COHIBA MINERALS LIMITED,CHK,Materials
COKAL LIMITED,CKA,Materials
COLES GROUP LIMITED.,COL,Food & Staples Retailing
COLLABORATE CORPORATION LIMITED,CL8,Retailing
COLLECTION HOUSE LIMITED,CLH,Diversified Financials
COLLINS FOODS LIMITED,CKF,Consumer Services
COMET RIDGE LIMITED,COI,Energy
COMMONWEALTH BANK OF AUSTRALIA.,CBA,Banks
COMMSCHOICE GROUP LIMITED,CCG,Software & Services
COMPUMEDICS LIMITED,CMP,Health Care Equipment & Services
COMPUTERSHARE LIMITED.,CPU,Software & Services
CONCENTRATED LEADERS FUND LIMITED,CLF,Not Applic
CONICO LTD,CNJ,Materials
CONNECTED IO LIMITED,CIO,Technology Hardware & Equipment
CONNEXION TELEMATICS LTD,CXZ,Software & Services
CONSOLIDATED OPERATIONS GROUP LIMITED,COG,Diversified Financials
